LECROYWS3034z,45662,Waveform
Segments,1,SegmentSize,40002
Segment,TrigTime,TimeSinceSegment1
#1,26-Feb-2020 00:27:54,0                 
Time,Ampl
-9.803605e-006,-1.6025
-9.803355e-006,-1.6025
-9.803105e-006,-1.60583
-9.802855e-006,-1.6025
-9.802605e-006,-1.6025
-9.802355e-006,-1.6025
-9.802105e-006,-1.60583
-9.801855e-006,-1.6025
-9.801605e-006,-1.6025
-9.801355e-006,-1.6025
-9.801105e-006,-1.6025
-9.800855e-006,-1.6025
-9.800605e-006,-1.6025
-9.800355e-006,-1.6025
-9.800105e-006,-1.6025
-9.799855e-006,-1.6025
-9.799605e-006,-1.6025
-9.799355e-006,-1.6025
-9.799105e-006,-1.6025
-9.798855e-006,-1.6025
-9.798605e-006,-1.6025
-9.798355e-006,-1.6025
-9.798105e-006,-1.6025
-9.797855e-006,-1.6025
-9.797605e-006,-1.6025
-9.797355e-006,-1.6025
-9.797105e-006,-1.60583
-9.796855e-006,-1.6025
-9.796605e-006,-1.6025
-9.796355e-006,-1.6025
-9.796105e-006,-1.6025
-9.795855e-006,-1.6025
-9.795605e-006,-1.6025
-9.795355e-006,-1.6025
-9.795105e-006,-1.6025
-9.794855e-006,-1.6025
-9.794605e-006,-1.6025
-9.794355e-006,-1.6025
-9.794105e-006,-1.6025
-9.793855e-006,-1.6025
-9.793605e-006,-1.6025
-9.793355e-006,-1.6025
-9.793105e-006,-1.6025
-9.792855e-006,-1.6025
-9.792605e-006,-1.6025
-9.792355e-006,-1.6025
-9.792105e-006,-1.6025
-9.791855e-006,-1.6025
-9.791605e-006,-1.6025
-9.791355e-006,-1.6025
-9.791105e-006,-1.6025
-9.790855e-006,-1.6025
-9.790605e-006,-1.6025
-9.790355e-006,-1.6025
-9.790105e-006,-1.6025
-9.789855e-006,-1.6025
-9.789605e-006,-1.6025
-9.789355e-006,-1.6025
-9.789105e-006,-1.6025
-9.788855e-006,-1.6025
-9.788605e-006,-1.6025
-9.788355e-006,-1.6025
-9.788105e-006,-1.6025
-9.787855e-006,-1.6025
-9.787605e-006,-1.6025
-9.787355e-006,-1.6025
-9.787105e-006,-1.6025
-9.786855e-006,-1.6025
-9.786605e-006,-1.6025
-9.786355e-006,-1.6025
-9.786105e-006,-1.6025
-9.785855e-006,-1.6025
-9.785605e-006,-1.6025
-9.785355e-006,-1.6025
-9.785105e-006,-1.6025
-9.784855e-006,-1.6025
-9.784605e-006,-1.6025
-9.784355e-006,-1.6025
-9.784105e-006,-1.6025
-9.783855e-006,-1.6025
-9.783605e-006,-1.6025
-9.783355e-006,-1.6025
-9.783105e-006,-1.6025
-9.782855e-006,-1.6025
-9.782605e-006,-1.6025
-9.782355e-006,-1.6025
-9.782105e-006,-1.6025
-9.781855e-006,-1.6025
-9.781605e-006,-1.6025
-9.781355e-006,-1.6025
-9.781105e-006,-1.6025
-9.780855e-006,-1.6025
-9.780605e-006,-1.6025
-9.780355e-006,-1.6025
-9.780105e-006,-1.6025
-9.779855e-006,-1.6025
-9.779605e-006,-1.6025
-9.779355e-006,-1.6025
-9.779105e-006,-1.6025
-9.778855e-006,-1.6025
-9.778605e-006,-1.6025
-9.778355e-006,-1.6025
-9.778105e-006,-1.6025
-9.777855e-006,-1.6025
-9.777605e-006,-1.6025
-9.777355e-006,-1.6025
-9.777105e-006,-1.60583
-9.776855e-006,-1.6025
-9.776605e-006,-1.6025
-9.776355e-006,-1.6025
-9.776105e-006,-1.60583
-9.775855e-006,-1.6025
-9.775605e-006,-1.6025
-9.775355e-006,-1.6025
-9.775105e-006,-1.60583
-9.774855e-006,-1.6025
-9.774605e-006,-1.6025
-9.774355e-006,-1.6025
-9.774105e-006,-1.60583
-9.773855e-006,-1.6025
-9.773605e-006,-1.6025
-9.773355e-006,-1.6025
-9.773105e-006,-1.60583
-9.772855e-006,-1.6025
-9.772605e-006,-1.6025
-9.772355e-006,-1.6025
-9.772105e-006,-1.60583
-9.771855e-006,-1.6025
-9.771605e-006,-1.6025
-9.771355e-006,-1.6025
-9.771105e-006,-1.6025
-9.770855e-006,-1.6025
-9.770605e-006,-1.6025
-9.770355e-006,-1.6025
-9.770105e-006,-1.6025
-9.769855e-006,-1.6025
-9.769605e-006,-1.6025
-9.769355e-006,-1.6025
-9.769105e-006,-1.6025
-9.768855e-006,-1.6025
-9.768605e-006,-1.6025
-9.768355e-006,-1.6025
-9.768105e-006,-1.6025
-9.767855e-006,-1.6025
-9.767605e-006,-1.6025
-9.767355e-006,-1.6025
-9.767105e-006,-1.6025
-9.766855e-006,-1.6025
-9.766605e-006,-1.6025
-9.766355e-006,-1.6025
-9.766105e-006,-1.6025
-9.765855e-006,-1.6025
-9.765605e-006,-1.6025
-9.765355e-006,-1.6025
-9.765105e-006,-1.6025
-9.764855e-006,-1.6025
